path,name,category,extension,size_mb
3D_DROP/MILWAUKEE BATTERY HOLDER.stl(1).stl,MILWAUKEE BATTERY HOLDER.stl(1).stl,3D_DROP,.stl,0.131
Downloaded_Models/CR2032.3mf,CR2032.3mf,Downloaded_Models,.3mf,0.817
Downloaded_Models/Claymore_Mine.3mf,Claymore_Mine.3mf,Downloaded_Models,.3mf,1.345
Downloaded_Models/ConeStand.3mf,ConeStand.3mf,Downloaded_Models,.3mf,0.845
Downloaded_Models/Darrieus_V5.3mf,Darrieus_V5.3mf,Downloaded_Models,.3mf,2.632
Downloaded_Models/Glock_19__Business_Card_Holder.3mf,Glock_19__Business_Card_Holder.3mf,Downloaded_Models,.3mf,1.617
Downloaded_Models/Ovetto_Middle_Finger_Textured.3mf,Ovetto_Middle_Finger_Textured.3mf,Downloaded_Models,.3mf,4.634
Downloaded_Models/washing_bowl.3mf,washing_bowl.3mf,Downloaded_Models,.3mf,5.992
Final_Products/Boxes/Box 3x3x1 Open Bottom.3mf,Box 3x3x1 Open Bottom.3mf,Final_Products,.3mf,0.001
Final_Products/Boxes/Box 4.9x4.9x3 Open Bottom.3mf,Box 4.9x4.9x3 Open Bottom.3mf,Final_Products,.3mf,0.001
Final_Products/Boxes/Box 4x4x1 Open Bottom.3mf,Box 4x4x1 Open Bottom.3mf,Final_Products,.3mf,0.001
Final_Products/Boxes/Box 4x4x2 Open Bottom.3mf,Box 4x4x2 Open Bottom.3mf,Final_Products,.3mf,0.004
Final_Products/Boxes/Box 5.9x5.9x4 Open Bottom.3mf,Box 5.9x5.9x4 Open Bottom.3mf,Final_Products,.3mf,0.004
Final_Products/Boxes/Box 6.9x6.9x5 Open Bottom.3mf,Box 6.9x6.9x5 Open Bottom.3mf,Final_Products,.3mf,0.001
Final_Products/Boxes/Box 7.9x7.9x6 Open Bottom.stl,Box 7.9x7.9x6 Open Bottom.stl,Final_Products,.stl,0.007
Final_Products/Boxes/Box 8.8x8.8x6.5 Open Bottom.stl,Box 8.8x8.8x6.5 Open Bottom.stl,Final_Products,.stl,0.007
Final_Products/Boxes/Box 9.8x9.8x7 Open Bottom.stl,Box 9.8x9.8x7 Open Bottom.stl,Final_Products,.stl,0.007
Final_Products/Cosmetic_Organizers/Brow Liner Organizer.stl,Brow Liner Organizer.stl,Final_Products,.stl,0.844
Final_Products/Cosmetic_Organizers/Brow Pen Organizer.stl,Brow Pen Organizer.stl,Final_Products,.stl,16.911
Final_Products/Cosmetic_Organizers/Mascara Organizer.stl,Mascara Organizer.stl,Final_Products,.stl,0.199
In_Progress/Utility_Designs/LongWorks Studio 3D Text.stl,LongWorks Studio 3D Text.stl,In_Progress,.stl,1.035
In_Progress/Utility_Designs/LongWorks Studio Nameplate.stl,LongWorks Studio Nameplate.stl,In_Progress,.stl,38.365
In_Progress/Utility_Designs/LongWorks Studio Words Only.stl,LongWorks Studio Words Only.stl,In_Progress,.stl,26.175
In_Progress/Utility_Designs/LongWorks Studio Words Thicker.stl,LongWorks Studio Words Thicker.stl,In_Progress,.stl,81.656
In_Progress/Cosmetic_Organizers/brow_holders_both_8p5mm_one_plate.3mf,brow_holders_both_8p5mm_one_plate.3mf,In_Progress,.3mf,4.718
In_Progress/Cosmetic_Organizers/brow_liner_holder_cosmetic_rounded.stl,brow_liner_holder_cosmetic_rounded.stl,In_Progress,.stl,0.67
In_Progress/Cosmetic_Organizers/brow_liner_holder_retail_display.stl,brow_liner_holder_retail_display.stl,In_Progress,.stl,0.777
In_Progress/Cosmetic_Organizers/brow_liner_holder_retail_display_top_enclosed.stl,brow_liner_holder_retail_display_top_enclosed.stl,In_Progress,.stl,0.249
In_Progress/Cosmetic_Organizers/brow_liner_holder_tubes.stl,brow_liner_holder_tubes.stl,In_Progress,.stl,0.269
In_Progress/Cosmetic_Organizers/brow_pen_holder_11holes_7mm.stl,brow_pen_holder_11holes_7mm.stl,In_Progress,.stl,17.384
In_Progress/Cosmetic_Organizers/brow_pen_holder_7plus1_6p9mm.stl,brow_pen_holder_7plus1_6p9mm.stl,In_Progress,.stl,15.612
In_Progress/Cosmetic_Organizers/brow_pen_holder_7plus1_centered.stl,brow_pen_holder_7plus1_centered.stl,In_Progress,.stl,15.355
In_Progress/Cosmetic_Organizers/brow_pen_holder_7plus1_special.stl,brow_pen_holder_7plus1_special.stl,In_Progress,.stl,16.173
In_Progress/Cosmetic_Organizers/brow_pen_holder_block_style.stl,brow_pen_holder_block_style.stl,In_Progress,.stl,0.338
In_Progress/Cosmetic_Organizers/compartment_tray_4x5_35x32mm.stl,compartment_tray_4x5_35x32mm.stl,In_Progress,.stl,0.024
In_Progress/Cosmetic_Organizers/compartment_tray_4x5_35x32mm_light_bottom_tiles.stl,compartment_tray_4x5_35x32mm_light_bottom_tiles.stl,In_Progress,.stl,0.061
In_Progress/Cosmetic_Organizers/compartment_tray_4x5_35x32mm_strong_light.stl,compartment_tray_4x5_35x32mm_strong_light.stl,In_Progress,.stl,0.2
In_Progress/Cosmetic_Organizers/compartment_tray_4x5_35x32mm_vertical_back_gussets.stl,compartment_tray_4x5_35x32mm_vertical_back_gussets.stl,In_Progress,.stl,0.205
In_Progress/Cosmetic_Organizers/compartment_tray_5x5_35x32mm_vertical_stable.stl,compartment_tray_5x5_35x32mm_vertical_stable.stl,In_Progress,.stl,0.249
In_Progress/Cosmetic_Organizers/compartment_tray_5x5_modular_sockets.stl,compartment_tray_5x5_modular_sockets.stl,In_Progress,.stl,0.271
In_Progress/Cosmetic_Organizers/mascara_inventory_tray_5x4.stl,mascara_inventory_tray_5x4.stl,In_Progress,.stl,0.017
In_Progress/Cosmetic_Organizers/mascara_inventory_tray_bottom_tiles.stl,mascara_inventory_tray_bottom_tiles.stl,In_Progress,.stl,0.044
In_Progress/Cosmetic_Organizers/mascara_inventory_tray_production_honeycomb.stl,mascara_inventory_tray_production_honeycomb.stl,In_Progress,.stl,2.077
In_Progress/Cosmetic_Organizers/mascara_inventory_tray_production_ledgebottom.stl,mascara_inventory_tray_production_ledgebottom.stl,In_Progress,.stl,0.178
